name,artist,popularity,duration_ms,rank
exile (feat. Bon Iver),Taylor Swift,76,285634,1
Espresso,Sabrina Carpenter,88,175459,2
"Good Luck, Babe!",Chappell Roan,92,218423,3
Guess featuring billie eilish,Charli xcx,81,143330,4
Lights Up,Harry Styles,67,172213,5
The Show,Niall Horan,58,191207,6
Brother Louie,Modern Talking,73,222666,7
A Kiss,THE DRIVER ERA,58,271854,8
Sweet Oblivion,David Kushner,50,135198,9
You Need Me Now? (feat. Sabrina Carpenter),girl in red,64,186377,10
LUNCH,Billie Eilish,84,179586,11
Born With a Broken Heart,Damiano David,79,208956,12
Preacher Man,THE DRIVER ERA,49,219389,13
Cheri Cheri Lady,Modern Talking,78,226333,14
Please Please Please,Sabrina Carpenter,84,186365,15
No Control,One Direction,68,199720,16
As It Was,Harry Styles,86,167303,17
Training Season,Dua Lipa,80,209487,18
"thank u, next",Ariana Grande,79,207320,19
Another Day Of Sun,La La Land Cast,63,228173,20
Dreamin,ZAYN,53,212213,21
On My Own,Ross Lynch,60,145413,22
Rumors,Ross Lynch,52,202736,23
Duality,Slipknot,79,252613,24
HOT TO GO!,Chappell Roan,86,184841,25
Unwritten,Natasha Bedingfield,84,259333,26
Sugar Sweet,Benson Boone,73,169839,27
Espresso,Sabrina Carpenter,88,175459,28
Nobody's Soldier,Hozier,54,237213,29
Sisters,Saint Motel,38,196226,30
Houdini,Dua Lipa,83,185917,31
Mia & Sebastian’s Theme,Justin Hurwitz,68,98040,32
Drag Me Down,One Direction,76,192120,33
Taste,Sabrina Carpenter,90,157279,34
Pink Pony Club,Chappell Roan,84,258034,35
Someone In The Crowd,Emma Stone,59,259613,36
Red Wine Supernova,Chappell Roan,82,192720,37
Story of My Life,One Direction,84,245493,38
She,Harry Styles,66,362653,39
Night Changes,One Direction,87,226600,40
A Lovely Night,Ryan Gosling,61,236506,41
Small Talk,Niall Horan,59,197890,42
BABY SAID,Måneskin,70,164682,43
Please Please Please,Sabrina Carpenter,86,186365,44
Herman’s Habit,Justin Hurwitz,53,111613,45
BIRDS OF A FEATHER,Billie Eilish,96,210373,46
Sweet Oblivion,David Kushner,57,135198,47
Burn,David Kushner,68,179173,48
City Of Stars,Ryan Gosling,62,111240,49
Planetarium,Justin Hurwitz,57,257279,50
