name,artist,popularity,duration_ms,rank
500 days of a fall,prazdniny,18,217641,1
colorblind,prazdniny,8,229888,2
Espresso,Sabrina Carpenter,88,175459,3
blackout,prazdniny,8,217029,4
exiled,prazdniny,5,152470,5
Do I Wanna Know? - Live At the BBC,Hozier,75,257560,6
Summer Rain,Zimmer90,61,173802,7
Movin',Zimmer90,47,213818,8
Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,63,190427,9
Smooth Operator - Single Version,Sade,79,258693,10
right where you left me - bonus track,Taylor Swift,74,245026,11
sweatshirt,prazdniny,7,210730,12
Written All Over Your Face,Louis Tomlinson,59,160560,13
Drowning,Zimmer90,50,174725,14
Follow (I will never let you go),Zimmer90,55,170557,15
For You,Zimmer90,40,160850,16
Just Hold On,Steve Aoki,55,198774,17
Ribs,Lorde,78,258969,18
Under the Moon,Zimmer90,44,172786,19
Baby,Zimmer90,36,207354,20
Royals,Lorde,75,190185,21
In Your Arms,Zimmer90,36,197448,22
White Teeth Teens,Lorde,55,216600,23
Team,Lorde,75,193058,24
feel like we used to,Zimmer90,54,176000,25
Now Or Never - Liam Mockridge Remix,Zimmer90,33,222348,26
Buzzcut Season,Lorde,70,246755,27
A World Alone,Lorde,58,294222,28
Still Sane,Lorde,51,188133,29
Love Letters,Zimmer90,41,149643,30
Glory And Gore,Lorde,60,210737,31
What Love Is,Zimmer90,60,220373,32
400 Lux,Lorde,62,234286,33
Tennis Court,Lorde,64,198907,34
"Good Luck, Babe!",Chappell Roan,92,218423,35
Someone New,Hozier,71,222813,36
Femininomenon,Chappell Roan,78,219710,37
Keep Driving,Harry Styles,74,140241,38
The Show,Niall Horan,58,191207,39
labour,Paris Paloma,74,237744,40
Lonely,Zimmer90,35,141278,41
Taste,Sabrina Carpenter,90,157279,42
Carry You Home,Alex Warren,83,166880,43
Red Wine Supernova,Chappell Roan,82,192720,44
Treat People With Kindness,Harry Styles,61,197346,45
Guess featuring billie eilish,Charli xcx,80,143330,46
Sailor Song,Gigi Perez,93,211978,47
The Door,Teddy Swims,86,212648,48
Nobody But Me,The Human Beinz,52,140440,49
Brazil,Declan McKenna,79,252306,50
